query,country,date,clicks,impressions,ctr,position
alquiler furgo caravana,esp,2017-09-01,0.0,1.0,0.0,8.0
alquiler furgoneta camper barcelona,swe,2017-09-01,0.0,1.0,0.0,83.0
alquiler furgoneta camper madrid,esp,2017-09-01,0.0,1.0,0.0,2.0
alquiler furgonetas camper,rus,2017-09-01,0.0,1.0,0.0,16.0
alquiler furgonetas camper barcelona,usa,2017-09-01,0.0,1.0,0.0,68.0
alquiler furgonetas camper madrid,nld,2017-09-01,0.0,1.0,0.0,49.0
alquiler furgonetas equipadas,usa,2017-09-01,0.0,1.0,0.0,16.0
alquiler furgonetas para dormir,esp,2017-09-01,0.0,1.0,0.0,7.0
alquiler furgos camper,esp,2017-09-01,0.0,1.0,0.0,6.0
alquiler jumpy,esp,2017-09-01,0.0,1.0,0.0,19.0
alquilo furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,1.0
amueblar furgoneta,esp,2017-09-01,0.0,1.0,0.0,6.0
arreglar nevera camas,esp,2017-09-01,0.0,1.0,0.0,75.0
asiento cama ford transit,esp,2017-09-01,0.0,2.0,0.0,9.5
asientos giratorios opel vivaro,esp,2017-09-01,0.0,2.0,0.0,2.0
autocaravana opel,esp,2017-09-01,0.0,1.0,0.0,5.0
autocaravanas citroen jumper,esp,2017-09-01,0.0,1.0,0.0,10.0
caddy cama,esp,2017-09-01,0.0,1.0,0.0,8.0
caddy camper,esp,2017-09-01,0.0,1.0,0.0,9.0
cajones para furgonetas camper,esp,2017-09-01,0.0,3.0,0.0,1.0
cama caddy,esp,2017-09-01,0.0,2.0,0.0,6.5
cama ford transit custom,esp,2017-09-01,0.0,1.0,0.0,3.0
cama opel vivaro,esp,2017-09-01,0.0,1.0,0.0,1.0
cama para opel vivaro,esp,2017-09-01,0.0,1.0,0.0,8.0
cama renault trafic,esp,2017-09-01,0.0,4.0,0.0,1.25
cama volkswagen california,esp,2017-09-01,0.0,1.0,0.0,9.0
camion camperizado,esp,2017-09-01,0.0,2.0,0.0,9.0
camion vivienda homologado,esp,2017-09-01,0.0,1.0,0.0,15.0
campear furgoneta,esp,2017-09-01,0.0,1.0,0.0,7.0
camper,esp,2017-09-01,0.0,7.0,0.0,18.285714285714285
camper 5 plazas,esp,2017-09-01,0.0,2.0,0.0,2.5
camper alquiler,esp,2017-09-01,0.0,2.0,0.0,14.0
camper asturias,esp,2017-09-01,0.0,3.0,0.0,9.0
camper castellon,esp,2017-09-01,0.0,1.0,0.0,10.0
camper citroen,esp,2017-09-01,0.0,2.0,0.0,5.5
camper citroen jumpy,esp,2017-09-01,0.0,3.0,0.0,7.0
camper de alquiler,esp,2017-09-01,0.0,1.0,0.0,18.0
camper evalia,esp,2017-09-01,0.0,1.0,0.0,8.0
camper fiat scudo,esp,2017-09-01,0.0,3.0,0.0,1.3333333333333333
camper furgoneta,esp,2017-09-01,0.0,4.0,0.0,6.0
camper furgoneta pequeña,esp,2017-09-01,0.0,1.0,0.0,3.0
camper furgonetas,and,2017-09-01,0.0,1.0,0.0,11.0
camper furgonetas,esp,2017-09-01,0.0,7.0,0.0,8.857142857142858
camper l1h1,esp,2017-09-01,0.0,2.0,0.0,9.5
camper l3h2,esp,2017-09-01,0.0,1.0,0.0,2.0
camper mercedes 2017,esp,2017-09-01,0.0,1.0,0.0,10.0
camper mercedes vito,esp,2017-09-01,0.0,1.0,0.0,5.0
camper nv200,esp,2017-09-01,0.0,1.0,0.0,9.0
camper opel vivaro,esp,2017-09-01,0.0,1.0,0.0,10.0
camper peugeot,esp,2017-09-01,0.0,2.0,0.0,7.5
camper renault trafic,per,2017-09-01,0.0,1.0,0.0,12.0
camper scudo,swe,2017-09-01,0.0,1.0,0.0,63.0
camper traffic,esp,2017-09-01,0.0,1.0,0.0,4.0
camper trafic,esp,2017-09-01,0.0,2.0,0.0,4.0
camper.es,esp,2017-09-01,0.0,1.0,0.0,11.0
